id	jlpt	kanji	significato	storia	parola 1 hiragana	parola 1 kanji	parola 1 significato 	parola 2 hiragana	parola 2 kanji	parola 2 significato	parola 3 hiragana	parola 3 kanji	parola 3 significato 
1	5	一	Uno	Una riga lol	いち	一	uno	ひとり	一人	una persona			
2	5	二	Due	Eh	due righe	に	二	due	ふたり	二人	due persone		
3	5	三	Tre	Tre righe!!!	さん	三	tre	さんにん	三人	tre persone			
4	5	四	Quattro	Apri le tende della finestra alle quattro	し	四	quattro	よんにん	四人	quattro persone			
5	5	五	Cinque	Sembra un po' un cinque 5	no?	ご	五	cinque	いつつ	五つ	cinque (contatore)		
6	5	六	Sei	Il diavolo ha un cappello 亠 e gambe d'animale ハ (666)	ろく	六	sei	むいか	六日	sei giorni			
7	5	七	Sette	Un 7 rovesciato	なな	七	sette	しちじ	七時	le ore 7:00			
8	5	八	Otto	Uno dei vulcani delle 8 eruzioni della storia	はち	八	otto	やっつ	八つ	otto (contatore)			
9	5	九	Nove	Una N che sta per Nove	きゅう	九	nove	くじ	九時	Le ore 9:00			
10	5	十	Dieci	La T di Ten	じゅう	十	Dieci	とおか	十日	Dieci giorni			
11	5	口	Bocca	Una bocca quadrata	く	口	bocca	やまぐち	山口	Yamaguchi	cognome		
12	5	日	Giorno	Una finestra sul giorno	ひ	日	giorno	にちようび	日曜日	domenica	あさって	明後日	dopodomani
13	5	月	Mese, luna	日 con le gambe perchè un mese dura di più	つき	月	luna	げつようび	月曜日	lunedì			
14	5	田	Risaia	Un campo di riso diviso in quadranti	たなか	田中	Tanaka	cognome	すいでん	水田	risaia allagata		
15	5	目	Occhio	faccina 目_目	め	目	occhio	もくてき	目的	scopo	obiettivo		
16	5	古	Vecchio	Una tomba con una croce	ふるい	古い	vecchio	こてん	古典	classico			
17	4	吾	Io	Io esisto attraverso la finestra 口 dei miei cinque 五 sensi	あせ	吾兄	tu (maschio)	ごじん	吾人	noi			
37	5	白	bianco	Un raggio ' di sole 日 che illumina	しろい	白い	bianco						
38	5	百	cento	Il bianco 白 è formato da 100 colori	ひゃくえん	百えん	cento yen						
39	5	中	Dentro, centro	Una linea che divide il centro	なかやま	中山	Nakayama	cognome					
